Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
alba_blanco6,,3,Falda vaquera de Bershka,Nunca lo he usado porque me quedaba grande,133,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"5,00 €",9,50
martacarrasco01,Pontevedra,2,Camisa de tirantes de punto,Varios usos pero en buen estado,33,S / 36 / 8,tienda local,Muy bueno,"5,00 €",20,9
lucia060983,Madrid,2,Bañador niña Tuc Tuc 3 años nuevo,Bañador niña Tuc Tuc 3 años nuevo sin estrenar,7,3 años / 92-98 cm,tuc tuc,Nuevo con etiquetas,"6,00 €",8,0
yaiza_mc,Huelva,2,Falda rosa Lefties ,"el tejido es de piel de melocotón (terciopelo)
color rosa 
talla S
sin uso ",54,S / 36 / 8,lefties,Nuevo sin etiquetas,"3,00 €",24,11
martacarrasco01,Pontevedra,2,Camiseta manga corta,"Camiseta ajustada, cuello barco",79,M / 38 / 10,Zara,Muy bueno,"3,00 €",1,14
turam.saurina,Barcelona,1,Bracelet with beads,"A bit old, great condition, with flower-shaped beads. ",16,,No Brand,Muy bueno,"1,00 €",5,3
silvita81,Torrejon De Ardoz,2,Pantalon vaquero corto de lunares,"usado una vez vaquero finito y elastico, talla 40. blanco y lunares negros
",23,L / 40 / 12,Denim Co,Muy bueno,"4,00 €",1,4
leiracas,,4,Camiseta con escote y cinta de collas,"Queda anchita, es muy comoda y apenas tiene uso, muy recomendada, talla s pero viene grande es del pull & bear",14,S / 36 / 8,Pull & Bear,Nuevo sin etiquetas,"5,00 €",4,3
alba_blanco6,,3,Falda vaquera de Bershka,Nunca lo he usado porque me quedaba grande,133,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"5,00 €",9,50
martacarrasco01,Pontevedra,2,Camisa de tirantes de punto,Varios usos pero en buen estado,33,S / 36 / 8,tienda local,Muy bueno,"5,00 €",20,9
lucia060983,Madrid,2,Bañador niña Tuc Tuc 3 años nuevo,Bañador niña Tuc Tuc 3 años nuevo sin estrenar,7,3 años / 92-98 cm,tuc tuc,Nuevo con etiquetas,"6,00 €",8,0
pepupope59,,23,Zapatillas New Balance edición especial Élite,"Zapatillas en buen estado, con vida aún por delante.
Son de una edición especial imposible de encontrar en la actualidad.
Talla 40,5.
Han sido, para su venta, lavadas e higienizadas con ozono.
#NewBalance; #EliteEdition

",55,40,New Balance,Bueno,"17,00 €",9,1
rgalper84,Campillos,5,Zapatos tiras colores,Poco uso,52,40,Desconocida,Muy bueno,"5,00 €",10,1
rgalper84,Campillos,5,Zapatos tacón de flores,Usado una vez para una boda. A penas un par de horas puestos,20,40,Desconocida,Muy bueno,"8,00 €",1,0
boryo,Madrid,8,Zapatillas Nike,"Muy poco uso.
En su caja original.",59,43,Nike,Muy bueno,"30,00 €",1,2
33mery,Barcelona,3,Top azúl cuello barca,A estrenar,65,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"5,00 €",26,12
monica9714,Zaragoza,20,Blusa de flores de Stradivarius ,"Usada un par de veces, como nueva.

",56,L / 40 / 12,Stradivarius,Muy bueno,"3,00 €",4,8
juliamorcillo,Don Benito,9,Funda IPhone 11 PRO MAX,"Nueva

",42,,MAX,Nuevo sin etiquetas,"5,00 €",25,3
33mery,Barcelona,3,Top amarillo estampado ,"A estrenar

",360,XS / 34 / 6,Shein,Nuevo sin etiquetas,"5,00 €",8,25
lidiaruizalejo,Linares,11,Peluches variados," Muy buen estado 1€cada
Escepto el oso 2€",24,Talla única,Sin Marca,Muy bueno,"1,00 €",,2
fleurlissu,,73,Pendientes,Pendientes colgantes,18,,,Bueno,"3,00 €",4,1
jimena.ox,Barcience,1,Pulseras hechas a mano,"Pulseras de hilo hechas a mano por mí.
1 × 2.5€
3 × 6.5€
Envío nacional 1€",72,,hecho a mano,Nuevo sin etiquetas,"2,50 €",15,3
inasawallisch,Manacor,2,Blusa blanca para mujer,Blusa blanca para mujer de muy buen estado,46,S / 36 / 8,H&M,Muy bueno,"4,00 €",12,2
otha.m,"Felguera, La (Langreo)",38,camiseta Xs tigre,Tiene la etiqueta cortada pero es una Xs de bershka. Usado,4,XS / 34 / 6,Bershka,Bueno,"5,00 €",12,0
m.belensa,Mijas,53,Falda tubo de Mango,Con la etiqueta ,33,S / 36 / 8,Mango,Nuevo con etiquetas,"8,00 €",1,0
angecerju,Canals,54,Deportivas Asics ,Deportivas Blanco y Azul para Deporte con Suela de Goma. El Único Desperfecto son Rozaduras en la Tela de la Parte del Talón.,41,38,Asics,Satisfactorio,"7,00 €",9,3
jeisonc99,Bilbao,1,Vestido corto negro con puntos.,Vestido Pull & Bear talla M,54,M / 38 / 10,Pull & Bear,Muy bueno,"4,00 €",1,3
rutika23,Las Palmas,1,Boddy,"Boddy sin estrenar de lentejuelas. 
Talla S
Con etiqueta",72,S / 36 / 8,Stradivarius,Nuevo con etiquetas,"5,00 €",1,14
martukituli,A Coruña,2,Camiseta puma,Camiseta puma. Me vino con un chandal y nunca la puse. ,22,XS / 34 / 6,Puma,Nuevo sin etiquetas,"5,00 €",1,4
miriam210383,,5,Bambas lacoste,Bambas lacoste number 36 nuevas,29,36,Lacoste,Nuevo sin etiquetas,"20,00 €",12,1
beesda,Santander,7,Sorts niña,Pantalon corto sin estrenar,11,XS / 34 / 6,,Nuevo con etiquetas,"8,00 €",27,1
zephyrwhat,,3,Camisa lefties,Muy nueva,18,XL,lefties,Muy bueno,"3,00 €",26,1
gil1948,,1,Bolsos de tela ,"Bolsos sin apenas uso. Uno bandolera, el otro con tres departamentos independientes cerrados con cremallera. Mucha capacidad. 5€ cada uno,  8€ los dos",19,,Sin Marca,Muy bueno,"5,00 €",9,0
andreeacondurat,Alcalá de Henares,2,Tacones ,"Usados solo por casa ,por lo tanto la suela no está mi manchada",10,39,Corina,Nuevo sin etiquetas,"10,00 €",2,0
zephyrwhat,,3,Amarillo lefties,Esta nuevo porque no se ha utilizado apenas nada.,61,XL,lefties,Muy bueno,"3,00 €",8,7
marilyn2516,Zaragoza,2,Chamarra tipo Jean,Sólo esta usado una vez pero está en muy buen estado,60,M / 38 / 10,Desconocida,Nuevo sin etiquetas,"5,00 €",26,6
luciaramongarcia,Molvizar,2,Camiseta berhka ,Sin uso ,25,L / 40 / 12,Bershka,Nuevo con etiquetas,"7,00 €",1,1
beatrizgguillen,Trujillo,6,Blusa de flores con tirantes,"Blusa de Zara. Con tirantes y espalda descubierta. Se cruza a la espalda y tiene los dos escotes en pico tanto el trasero como el delantero.
Es una prenda usada.",107,M / 38 / 10,Zara,Bueno,"4,00 €",12,3
lydia_sh,Valencia,7,Sandalias marrones dedo,"Sandalias de dedo, se sujetan al tobillo con dos hebillas. Color marron y un trozo en el tobillo rosa fucsia. Poco uso. Las vendo porque no me las pongo.",27,38,,Bueno,"4,00 €",2,1
candysugarbaby,Alicante/Alacant,38,Calzado de verano Gioseppo,"Sandalia de verano muy cómoda de la marca Giossepo, de color camel y número 41.  Calzan tipo chancla con sujeción en el empeine. Estiloso con flecos.",25,41,Gioseppo,Bueno,"12,00 €",2,2
isgoce,Picassent,3,Traje de caballero de la marca Milano.,Traje de caballero de la marca Milano en color verdoso/caqui de pura lana virgen.Con muy poco uso.Talla del pantalón 48 y de la americana 52.,12,L,milano,Muy bueno,"20,00 €",16,0
zzindy,Mentrida,3,Bolso de raso,Un bolso de mano color verde con florecitas moradas ,63,,Sin Marca,Nuevo sin etiquetas,"5,00 €",30,6
inasawallisch,Manacor,2,Bañador para niña Azul,Tiene un aspecto casi nuevo solo en un sitio hay un poco de tacas blancas.,28,8 años / 122-128 cm,Tribord,Muy bueno,"2,00 €",9,2
zephyrwhat,,3,Bolso Tous original,"Artículo en perfecto estado salvo un poco parte de los laterales que se nota algo desgastado, en las últimas imágenes se puede apreciar, por lo demás, todo perfecto incluyendo el interior",91,,Tous,Muy bueno,"20,00 €",15,4
ihunay,,1,Vans NUEVAS,"Vendo mis Vans, nuevas, sin estrenar. Modelo Vans Ward Canvas. Num 36,5",45,36.5,Vans,Nuevo con etiquetas,"45,00 €",3,7
antiahermen,Madrid,1,Pulseras de hilo personalizadas ,"pulseras de hilo hechas a mano.
4 hilos: 2€  (0,8cm de ancho)
5 hilos: 2,50€  (1cm de ancho)
6 hilos: 3€   (1,2cm de ancho)
más de 100 colores, si quieres una te mando foto de los colores que tengo.",25,,hecho a mano,Nuevo sin etiquetas,"2,00 €",15,2
aiinhoa.17,,3,Tacones con brillante,"Tacones de aguja con brillantes.
Están nuevos ya que me los regalaron pero no eran mi talla y me están un poco grandes.
",18,38,Desconocida,Nuevo sin etiquetas,"5,00 €",1,2
vctrfsh,Madrid,11,Vestido espalda descubierta,"Vestido de espalda descubierta de Zara. Puesto en una ocasión. Es una XS pero si tienes una S de Zara , te sirve.",125,XS / 34 / 6,Zara,Muy bueno,"4,00 €",8,20
mika-vetona,,2,Botas  Predator futbol,Botas futbol sin estrenar. Preciosas.,81,36,Adidas,Nuevo con etiquetas,"20,00 €",7,12
aiinhoa.17,,3,Deportivas Nike ,"Deportivas rosas y negras de la marca Nike.
Las he usado muy poco porque no son de mi talla, tienen algunas marcas de uso pero bien conservadas.
",60,36.5,Nike,Bueno,"8,00 €",1,4
mariadmc,,4,Chanclas New Balance T.35,"Chanclas New Balance nuevas a estrenar, muy cómodas. Talla correcta, se corresponde con un 35.",21,35,New Balance,Nuevo con etiquetas,"20,00 €",1,0
mariadmc,,4,Chanclas New Balance T.35,"Chanclas New Balance nuevas a estrenar, muy cómodas. Talla correcta, se corresponde con un 35.",21,35,New Balance,Nuevo con etiquetas,"20,00 €",1,0
oscartorres97,,1,Nike Ebernon Low,"Están totalmente nuevas y sin estrenar, pensé en descambiarlas pero pensé que las podría querer alguien. Las zapatillas siguen el modelo de baloncesto propio de los 80 y son ideales para la práctica de este deporte o bien para salir a la calle. 


Ils sont neufs et non portés, j'ai pensé à les changer mais j'ai pensé que quelqu'un pourrait les vouloir.  Les chaussures suivent le modèle de basket des années 80 et sont idéales pour pratiquer ce sport ou pour sortir.",712,43,Nike,Nuevo con etiquetas,"60,00 €",1,21
aiinhoa.17,,3,Zapatos con tacón ,"Zapatos negros con tacón bajito y piel de melocotón, son muy cómodos muy bonitos.
Tienen marcas de uso pero muy bien conservados.",56,37,Marypaz,Muy bueno,"5,00 €",1,5
belentxu277,Valencia,2,Sandalias Mikael Kors,"Sandalias cuña Mikael Kors, diseño
estampado en azul y blanco. Materiales tela y piel. En perfecto estado. Muy comodas. Altura cuña 12. m. Altura parte delantera 5cm.
",173,38.5 ,Michael Kors,Muy bueno,"25,00 €",9,10
lydia_sh,Valencia,7,Botines marrones,"Botines marrones con cordones para mujer, talla 37. Usados pero en muy buenas condiciones. Los vendo porque ya no les doy uso. Muy cómodos y calentitos.",25,38,,Bueno,"4,00 €",2,1
luciaramongarcia,Molvizar,2,Pantalon ,Poco uso ,128,5 años / 104-110 cm,Zara,Muy bueno,"3,00 €",3,3
alba.98,Sant Vicent del Raspeig,68,Vestido Agatha Ruiz de la Prada,Estampado corazones. Pequeña manchita adjuntada en la ultima foto. ,32,13-14 años/ 152-158 cm,Agatha,Bueno,"4,00 €",15,2
zuzka28,,1,Camisetas verano ,"Las camisas muy poco usadas, talla S, cada una a 5€
",4,S / 36 / 8,Sin Marca,Muy bueno,"5,00 €",15,0
alba.98,Sant Vicent del Raspeig,68,Vestido Blanco ,Talla XS. Vestido sin tirantes,22,XS / 34 / 6,Blanco,Muy bueno,"4,00 €",12,3
leyre2708,Tudela,2,Pantalones ,Talla 40 no usados,44,L,Primark,Nuevo sin etiquetas,"3,00 €",9,2
yolanda0512,,2,Vestido ,"Vestido de verano, tirantes. Talla m",13,M / 38 / 10,Desconocida,Nuevo con etiquetas,"10,00 €",1,0
ginnat,A Coruña,36,Bolso Bimba y lola,"Bolso con 2 compartimentos es original pero tiene la chapa principal bastante gastada ver última foto 
Por el resto está perfecto las cremalleras cierran y abren bien la correa no tiene desperfectos y es lijero y cómodo largo 16 ancho 21 ",188,,Bimba y Lola,Bueno,"5,00 €",27,6
omaira3a,,14,Zapatos para reuniones o rencuentros,"Bonita 
",28,35.5,,Nuevo sin etiquetas,"6,09 €",2,2
vamhell,Xativa,3,Zapatillas de Skate Hombre DC Shoes,Zapatillas de Hombre DC Shoes nuevas sin uso.originales y talla 40.,55,40,DC,Nuevo con etiquetas,"35,00 €",2,4
cheyennerenardpalou,Sóller,2,Collares veraniegos🌈,"Hago collares, pendientes, pulseras de mano y de pie,... De bolitas de colores, a elección❤️☀️🌈",77,,handmade,Nuevo sin etiquetas,"3,50 €",15,6
angie_pino42,,1,Tacones marca Xti ,"Poco uso, tacon de unos 10cm más o menos",50,36.5,Xti,Muy bueno,"5,00 €",2,9
franveto,Valencia,1,Chaqueta/Sudadera,"Chaqueta de FILA, sin utilizar, verdadera (De la tienda Sprinter) . Precio negociable. ",50,S,FILA,Nuevo sin etiquetas,"21,00 €",1,4
marianmarian2802,Sevilla,8,Vestido muy bonito,Vestido azul añil. Una puesta,4,S / 36 / 8,Stradivarius,Muy bueno,"5,00 €",9,0
ospina222,,2,Zapatos ,Usado 2 veces da poco talla.. Tacon en cristal,58,38,Topshop,Muy bueno,"10,00 €",1,5
marianmarian2802,Sevilla,8,Falda beig,Falda corta beig. Talla 42. Perfecto estado,20,XL / 42 / 14,Stradivarius,Muy bueno,"5,00 €",4,5
belentxu277,Valencia,2,  Botines mujer Angari," Botines de ante y piel de color verde oscuro marca Angari. Excelente calidad.  Tienen un solo uso.  Número 39. Altura tacón 12 cm, muy cómodos.
Embalage original, previo original 99 euros.
",64,39,Angari,Muy bueno,"20,00 €",28,1
land2013,Madrid,12,Ralf Lauren,brand new ,169,44,Ralph Lauren,Nuevo con etiquetas,"30,00 €",12,8
laauuraa2312,,8,Chaqueta cárdigan,Sin estrenar,17,M,Sfera,Nuevo con etiquetas,"8,00 €",12,1
silvialc,Elx/Elche,12,Corpiño fucsia Blanco ,"Corpiño de color fucsia con cremallera por delante y fruncido por la espalda. Es de Blanco, talla XS",2,XS / 34 / 6,Blanco,Bueno,"3,00 €",5,0
belentxu277,Valencia,2,  Botines mujer Angari," Botines de ante y piel de color verde oscuro marca Angari. Excelente calidad.  Tienen un solo uso.  Número 39. Altura tacón 12 cm, muy cómodos.
Embalage original, previo original 99 euros.
",64,39,Angari,Muy bueno,"20,00 €",28,1
land2013,Madrid,12,Ralf Lauren,brand new ,169,44,Ralph Lauren,Nuevo con etiquetas,"30,00 €",12,8
laauuraa2312,,8,Chaqueta cárdigan,Sin estrenar,17,M,Sfera,Nuevo con etiquetas,"8,00 €",12,1
silvialc,Elx/Elche,12,Corpiño fucsia Blanco ,"Corpiño de color fucsia con cremallera por delante y fruncido por la espalda. Es de Blanco, talla XS",2,XS / 34 / 6,Blanco,Bueno,"3,00 €",5,0
cuchifletos,Almeria,24,Pantalon cortó niña zara,Nuevo con etiquetas,34,9 años/ 128-134 cm,Zara,Nuevo con etiquetas,"8,00 €",15,7
pablobl,,3,Americana zara ,Americana zara 48,38,M,Zara,Muy bueno,"10,00 €",2,1
dylan_12,,1,Zapatos Fila para niño,"Zapatos Fila para niño,talla 40,muy poco usados si quieres saber más sobre el artículo ",276,40,FILA,Muy bueno,"20,00 €",7,8
erwinl20,Collado Mediano,6,Sandalias mujer Oasis,"Compradas la temporada pasada, sin uso.",27,38,Oasis,Nuevo sin etiquetas,"12,00 €",13,3
maycaquijada,A Coruña,11,Sandalias tacón,Sandalias negras de tacón bajo. Son un 39 pero tallan como 38. A estrenar,193,38,Sin Marca,Nuevo sin etiquetas,"5,00 €",1,21
mariadelao1981,Madrid,12,Sandalia negra,Preciosas sandalias negras anudadas al tobillo de tacón ancho de 6 cm muy cómodas. Nuevas a estrenar. Llevan todos los protectores y su caja intacta.,81,40,Lost ink,Nuevo con etiquetas,"15,00 €",1,9
silvialc,Elx/Elche,12,Falda tubo bershka,Falda de tubo de algodón. Talla M. Sólo tiene dos puestas está como nueva,84,M / 38 / 10,Bershka,Muy bueno,"3,00 €",1,7
pablobl,,3,Pantalón zara talla 40 color verde agua,Pantalón zara talla 40 color verde agua buen estado,105,L / 40 / 12,Zara,Bueno,"5,00 €",17,0
pablobl,,3,Parka lefties,"Parka de Lefties talla L. 

",51,L,lefties,Bueno,"10,00 €",10,1
raaachi18,A Coruña,1,Falda de ante color teja rojizo,"Queda ajustada, lleva cremallera por la parte trasera y tiene pocos usos",35,M / 38 / 10,Pull & Bear,Muy bueno,"5,00 €",7,3
davidbx31,,1,Zapatillas de deporte o vestir ,"Adidas 70run S  las vendo por que me vinieron muy pequeñas están chulas es una talla 42.5 
",86,42.5,Adidas,Nuevo con etiquetas,"45,00 €",1,6
anahiguerilla,,2,Zapatillas Vans,Usado 3 veces ,107,42,Vans,Muy bueno,"22,00 €",15,2
ikahouses,Sevilla,21,Calcetines Joker,"Calcetines Joker blancos morados y lima. Talla 40-43. Nunca usado
",40,M,Joker,Nuevo sin etiquetas,"5,00 €",6,9
begofg,,3,Pantalón vaquero  mujer,Pantalón recto azul marino nuevo con etiqueta,19,XS / 34 / 6,Lois,Nuevo con etiquetas,"12,00 €",27,0
anahiguerilla,,2,Deportillas Fila ,Usadas un par de veces porque se me quedan un pelin grandes,53,42.5,FILA,Muy bueno,"20,00 €",3,0
paula20016,Villatuerta,1,Camisetas fresquitas,"Vendo este pack de camisetas del Primark. Alguna esta un poquito desgastada, pero son cómodas y por lo demás en buenas condiciones",8,M / 38 / 10,Primark,Bueno,"2,00 €",9,0
lucialan,,3,pantalones cortos ,pantalones cortos del Pull and bear ,55,S / 36 / 8,Pull & Bear,Bueno,"3,50 €",9,8
nerutxi,Donostia-San Sebastian,15,Sombrilla bebés ,Sombrilla para coche de bebé. En azul cielo. Viene con el enganche al coche. Necesita un refresque porque ha estado guardado. ,21,,Uzturre,Muy bueno,"10,00 €",,1
koral111,Guadarrama,7,Pantalón corto vaquero zara,"Completamente nuevos, los vendo porque no me quedan bien de talla y perdí el ticket. ",66,XS / 34 / 6,Zara,Nuevo con etiquetas,"15,00 €",9,19
srta.lilibeth,Madrid,7,Charm Pandora Original,"Vendo un charm de la marca Pandora. Es ORIGINAL. Es el charm de cumpleaños. Está hecho en plata de ley y tiene la inscripción ""Happy Birthday"". Lo entrego con su cajita Pandora, la bolsa, y el ticket de compra. Está completamente nuevo, porque lo vendo precisamente porque no lo utilizo, ya que no entra en mi pulsera. Lo entrego en mano en Madrid o hago envíos a cargo del comprador. Interesados pónganse en contacto conmigo.",167,,Pandora,Nuevo con etiquetas,"31,00 €",13,0
sara8533920,,3,Traje de Zara con brillos,Una vez,90,M / 38 / 10,Zara,Muy bueno,"6,00 €",1,10
rag2011,,3,Zapatitos Chicco talla 20,Muy poco usado ,35,20,chicco,Muy bueno,"2,50 €",23,2
sofii,,22,Libro cocina,"Fotocopiado. Mus mejores recetas de thermomix 
Gristina Galiano",25,,,Satisfactorio,"3,00 €",,0
sara8533920,,3,Mono marca bersha,Solo una vez,59,S / 36 / 8,Bershka,Nuevo sin etiquetas,"5,00 €",5,9
lucialan,,3,Pantalones Stradivarius ,"pantalones del Stradivarius con usos pero en buen estado 
",68,S / 36 / 8,Stradivarius,Bueno,"4,99 €",1,4
cocoraqueeel,San Javier,27,Nike talla 36,"Negras, doradas y blancas, son súper cómodas y están con uso pero nuevas como se ve en la foto las vendo porque me urge el dinero. Solo tiene tres gotitas que no se vn se ve en la última foto de ahí este precio. ",133,36,Nike,Bueno,"13,00 €",1,1
sara8533920,,3,Vendo camisa Marca desigual,Este artículo solo se ah usado una vez,35,M / 38 / 10,Desigual,Nuevo sin etiquetas,"10,00 €",6,1
catalinaa123,Sevilla,1,Polo a rayas mujer ,Nuevo,8,S / 36 / 8,U.S. POLO ASSN.,Nuevo con etiquetas,"12,00 €",1,2
anndreapriivv,Sevilleja De La Jara,1,Texto ,usado,38,XXXS / 30 / 2,Texto,Nuevo con etiquetas,"5,00 €",1,0
rebelux,Ayamonte,51,"Hecha un vistazo a mi armario, todo compra lleva un regalito ","vestidos, camisas,zapatos...
",24,M / 38 / 10,Zara,Nuevo sin etiquetas,"5,10 €",1,0
dnklbv,Merida,21,Pantalón rojo,"Usado, en buen estado.",12,M / 38 / 10,Springfield,Bueno,"5,00 €",7,2
ampsifer22,,6,Cangregeras de niño,Escarpines azules de niño talla 32-33,13,32,Decathlon,Muy bueno,"3,00 €",9,1
chillispao,Terrassa,29,Zapatos Zara con pinchos ,"talla 38
bien cuidados tal cual como en la foto ",17,38,Zara,Bueno,"5,00 €",3,2
vijanera,,27,Camiseta colorida,Camiseta muy alegre y fresquita. Nueva sin etiqueta. ,3,M / 38 / 10,Sin Marca,Nuevo sin etiquetas,"3,00 €",15,0
ursula25317,,4,Falda vaquera de bershka,"A estrenar, talla S ",31,S / 36 / 8,Bershka,Nuevo con etiquetas,"8,00 €",2,2
valleguerratudela,Arges,50,Sandalia verde cuña,Cuñas de esparto verdes usadas,12,36,Blanco,Bueno,"6,00 €",10,2
dacrismar,,1,Zapatillas Polo Ralph Lauren,Están nuevas solo una puesta es el número 37,75,37,Ralph Lauren,Muy bueno,"20,00 €",9,8
dnklbv,Merida,21,Pantalón Springfield,Poco uso. ,31,M / 38 / 10,Springfield,Muy bueno,"5,00 €",9,2
marcp12,,1,Vaquero gris de Zara,"Poco usado, bajo deshilachado, sienta muy bien, talla 32",60,XXS / 32 / 4,Zara,Muy bueno,"6,00 €",3,3
saraibacano,Paterna,14,Banda vintage ,"Talla M.
Top banda con diseño en plata en la parte delantera.
Completamente nuevo. ",197,M / 38 / 10,Vintage,Nuevo sin etiquetas,"5,00 €",11,16
palomari170368,Toledo,12,Cuñas camel Zara,cuñas de ante color camel de zara,40,41,Zara,Muy bueno,"10,00 €",4,4
andrea._.sb,Teulada,18,Vestido de bershka,"El desperfecto que tiene se ve en la 4ta foto. Por todo lo demás, esta en buen estado, el color no esta descolorido y las lentejuelas también están todas,etc.",47,S / 36 / 8,Bershka,Bueno,"2,00 €",1,3
inamunich,Barcelona,21,Chaqueta de Pull&Bear Talla L (Beige),Chaqueta de Pull&Bear Talla L (Beige). Poco uso.,30,L,Pull & Bear,Muy bueno,"8,00 €",4,1
rosaerosa,Madrid,4,Bolso 3 bolsillos interiores ,"Bolso con 3 bolsillos interiores, tipo acordeón. ",20,,PEPA LOVES,Muy bueno,"5,00 €",2,4
inamunich,Barcelona,21,Chaqueta de Pull&Bear Talla L (Beige),Chaqueta de Pull&Bear Talla L (Beige). Poco uso.,30,L,Pull & Bear,Muy bueno,"8,00 €",4,1
rosaerosa,Madrid,4,Bolso 3 bolsillos interiores ,"Bolso con 3 bolsillos interiores, tipo acordeón. ",20,,PEPA LOVES,Muy bueno,"5,00 €",2,4
marttaa2,,21,Falda ajustada,minifalda ajustada nueva,13,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"4,50 €",5,1
datien,,1,Camiseta de Madrid ,Blanco corto madrid,37,4 años / 98-104 cm,Blanco,Nuevo sin etiquetas,"5,00 €",12,1
marttaa2,,21,Falda marron ajustada minifalda,"falda nueva, ajustada
",10,XS / 34 / 6,Bershka,Nuevo sin etiquetas,"4,50 €",2,0
meritfi,Cádiz,4,Tenis tipo converse Mustang,Tenis de tela de terciopelo tipo converse con plataforma color burdeos número 38,21,38,Mustang,Bueno,"5,00 €",23,0
meritfi,Cádiz,4,Tenis tipo converse Victoria,Tenis de tela tipo converse con plataforma color negro número 38,115,38,Victoria,Muy bueno,"5,00 €",1,14
sabela.p,Vigo,10,Sandalias de piel de Uterqüe,"Sin estrenar. Sandalias de piel de Uterqüe, con caja y etiqueta. Color cuero y tacón de madera. ",149,39,Uterque,Nuevo con etiquetas,"30,00 €",2,7
celia472020,"Paradela (Carballiño, O)",3,Zapatitos primera puesta,"Tallas 16, 17, 19",47,16,Zara,Muy bueno,"2,00 €",2,2
rociofigueiras,,2,Zapatilla tenis Pablosky talla 22 verano fresca,Usado pero poco gastado,26,22,pablosky,Bueno,"5,00 €",27,1
noesvel,Segorbe,2,Sandalias tacón esparto Pull&Bear,"Sandalias azul cielo con suela de esparto. Talla 39, pocos usos. Tienen algunas marquitas (visible en las fotos), pero puestas son casi imperceptibles.",39,39,Pull & Bear,Bueno,"8,00 €",17,8
vanessaosp96,,5,Vestido veraniego ,"Usado pocas veces, talla S ",47,S / 36 / 8,Sin Marca,Muy bueno,"5,00 €",8,4
molichi,Pola De Laviana,91,Nike Cortez,"Nike Cortez azul marino y blanco, poco uso, talla 39",96,39,Nike,Muy bueno,"15,00 €",12,10
shrzzzzz,Andalucía,2,Vestido brillo,"Vestido brillo corto pegado, es genial. 
Usado una sola vez para ir a una cena, no lo volví a usar por no encontrar ocasión para ponerlo.",42,M / 38 / 10,lefties,Muy bueno,"3,00 €",1,2
jesus4444,Huelva,2,FIFA 98 Ps1,Francés. Completo. Caja perfecta. ,22,,FIFA,Muy bueno,"10,00 €",,5
raaulmartiin,,2,zapatillas jordan,1 solo uso,226,42.5,Nike,Muy bueno,"20,00 €",9,13
vanesaramos1979,Peal de Becerro,1,Vestido estampado bebe,"Vestido muy fresquito y súper cómodo, nuevo  a estrenar. Talla 6 meses",30,3-6 meses / 62-68 cm,Sin Marca,Nuevo con etiquetas,"3,00 €",15,2
daniela283126,,1,Ropa Bershka ,usado una sola vez ,46,S / 36 / 8,Bershka,Nuevo sin etiquetas,"5,00 €",15,3
guadalvet,Alhaurin De La Torre,160,Zapatillas Converse rojas,"Zapatillas Converse de color rojo.talla 39. Buen estado.
Se puede enviar",46,39,Converse,Bueno,"15,00 €",7,7
raaulmartiin,,2,zapatillas fútbol nike mercuriL,"Un solo uso
",80,42,Nike,Muy bueno,"20,00 €",9,3
francescagufoni,Barcelona,61,Top versátil ,"Se puede usar como bañador, como top o sujetador ",43,M / 38 / 10,,Nuevo sin etiquetas,"2,00 €",12,4
alballf,Tomelloso,49,Top bikini vichy,top bikini cuadros vichy en color rojo. Totalmente nuevo con etiquetas. Equivalente a una talla 85 de pecho,5,S / 36 / 8,polinesia,Nuevo con etiquetas,"3,50 €",7,1
keviin2607,Orihuela,1,Bañador rojo Milano,"muy poco uso, talla M, color rojo.",16,M,milano,Muy bueno,"4,00 €",7,1
robertvillafuerte21,,2,Camisas ,Las vendo porque necesitó pasta,93,XS,,Bueno,"4,00 €",1,0
erikapatricia,Zaragoza,3,Zapatos ,Color dorado con negro. ,7,38,Sin Marca,Bueno,"3,00 €",14,1
davit1972,Avilés,3,camisa de cuadros de Zara,usado dos vez,20,L,Zara,Muy bueno,"10,00 €",3,0
pcm77,,5,Bolso negro con tachuelas de Blanco,"Muy poco uso.
20x18x2
Dentro tiene un bolsillo con cremallera.",35,,Blanco,Muy bueno,"4,00 €",1,2
nat860715,Gilet,28,Sandalias plataforma Stradivarius,"Usados un par de veces.
Debido al tipo de material de las tiras tienen algún roce, que se aprecia en las fotos, pero es imperceptible cuando las llevas.",27,38,Stradivarius,Muy bueno,"7,00 €",14,4
rosass20,Santiago de Compostela,16,Sandalias negras cuña baja,"Sandalias negras en muy buen estado, de piel, tela en la flor y tacón recubierto de tela suave en beige. Se puede acordar lugar de recogida o solicitar envío.",63,35,Unisa,Muy bueno,"9,00 €",1,4
mon1890,,0,Camiseta niño 6 años ( talla 116 ),Camiseta  polo con cuello,24,6 años / 110-116 cm,,Bueno,"2,00 €",3,3
louna202016,,1,Peluchin Harry Potter buo , para más de 1 año ,259,Prematuro / máx. 44 cm,Harry Potter,Muy bueno,"2,00 €",2,12
esthervl96,Madrid,17,Funda carcasa iphone 6S,Funda carcasa iphone 6S,41,,Apple,Nuevo con etiquetas,"4,00 €",9,5
