Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
lauramar09,,1,"Camisa manga corta ""Columbia omni-shade"" ","Sin estrenar, con etiquetas (no ha sido usada). Esta camisa protege de los rayos UVA del Sol. ",113,XS / 34 / 6,Columbia,Nuevo con etiquetas,"25,00 €",9,4
ezequiel97,,2,Gomas de pelo Scrunchie,"Se venden gomas de pelo tipo scrunchie hechas a mano. Modelos en las imágenes, pronto se subirán nuevos. 
Gomas muy cómodas y fáciles de combinar con diferentes looks.",81,,Sin Marca,Nuevo sin etiquetas,"2,00 €",23,8
ranitapelotari,Pinto,3,Zapatos salón negros Farrutx,"Zapatos tacón de 7cms. De salón, vestir, piel de calidad, muy buena marca. Talla 5,5, correspondiente a 38,5",276,38.5 ,Farrutx,Muy bueno,"10,00 €",1,7
nikhaser,Arroyomolinos,1,Nike Epic React Flyknit 2,"Zapatillas nike originales, nuevas y sin uso
Talla: 42,5
Colores: negro, fucsia, amarillo eléctrico y blanco
Entrego con caja original
",461,42.5,Nike,Nuevo con etiquetas,"60,00 €",1,22
xiomaraelizalde,Palma de Mallorca,1,Oportunidad ropa y calzado de niño 11-12 años,Usado y en buen estado!!,152,11-12 años / 140-146 cm,H&M,Bueno,"1,00 €",1,5
mrocum,Valencia,2,Vestido sfera ,Vestido sin mangas de sfera. Color azul marino con puntos en blanco,508,S / 36 / 8,Sfera,Bueno,"4,00 €",12,57
patrimarinofferrall,Madrid,1,Vestido Flores Ada Gatti,"Vestido aún con etiqueta puesta,lo compré hace 3 o 4 años pero nunca lo usé.La tela es gordita como de neopreno y tiene un poco de vuelo,corte a la cintura.",179,S / 36 / 8,ada gatti,Nuevo con etiquetas,"10,00 €",1,2
belenbarriosc,Jerez de la Frontera,9,Blusa tirantes amarilla y negra Zara,Blusa amarilla fluida con tirantes negros. ,0,S / 36 / 8,Zara,Bueno,"3,00 €",1,0
noelia6039,,2,Chaqueta polipiel plateada,En muy buen estado ,0,L / 40 / 12,,Bueno,"4,00 €",13,0
ldy__g,,2,Top blanco M-L,"Nuevo a estrenar, da poca talla.",0,M / 38 / 10,Zalando,Nuevo con etiquetas,"10,00 €",12,0
purpurape,,4,Blusa tirantes con volantes,"Blusa entallada bajo el pecho con volantes, cremallera lateral, muy poco uso.",0,XXL / 44 / 16,Promod,Muy bueno,"3,00 €",1,0
nieves050802,Andalucía,3,Vestido de Pianurastudio,"vestido con estampado de cebra en la parte superior separadado de la parte inferior por una banda de cuero negro , es totalmente eslastico. Se encuentra en muy buen estado ",0,M / 38 / 10,PianuraStudio,Muy bueno,"10,00 €",1,0
armariodepompon,Vigo,5,Chaqueta verde Lolittos ,Preciosa chaqueta de punto en estado impecable. Usado un par de ocasiones. ,0,3 años / 92-98 cm,Lolittos,Muy bueno,"12,00 €",10,0
mariangel77,,1,Botas fútbol Messi 2015,Botas de fútbol casi nuevas del 41 y medio con suela de multitacos,0,41,Adidas,Muy bueno,"20,00 €",1,0
angelapb97,,2,Camisa Kilarny mujer ,"Camisa azul lisa con bordados de la marca 
Talla S",0,S / 36 / 8,Killstar,Muy bueno,"15,00 €",9,0
anacas7,Alicante,3,Camisa de Gocco,"Camisa de botones sin mangas, talla M",0,13-14 años/ 152-158 cm,GOCCO,Muy bueno,"5,00 €",9,0
lidiacece17,,3,Cuñas de bershka color beige y rafia,"Buenísima calidad, puestas en varias ocasiones pero de aspecto muy cuidadas. Lo único que pueden tener un poco más tomado es la plantilla de dentro.  Quedan preciosas puestas",0,39.5 ,Bershka,Bueno,"8,00 €",2,0
